lower_age,num,tot,prop,lwr,upr
0,52,52,1,0.9315177912966804,1
2,18,18,1,0.8146980318621477,1
4,11,11,1,0.7150858470818456,1
6,6,6,1,0.5407418735600996,1
8,4,4,1,0.3976353643835254,1
10,14,14,1,0.7683642383498835,1
12,17,17,1,0.8049356770309068,1
14,15,15,1,0.781980639089466,1
16,24,24,1,0.8575264022774743,1
18,35,35,1,0.8999675644278949,1
20,59,61,0.9672131147540983,0.8865278328118185,0.9960043968326835
22,57,58,0.9827586206896551,0.9076389478576248,0.9995635813275813
24,72,73,0.9863013698630136,0.9260236768216559,0.9996532408474009
26,81,83,0.9759036144578314,0.9156526348121033,0.9970683773063537
28,104,105,0.9904761904761905,0.9480776171590833,0.9997589070867657
30,113,115,0.9826086956521739,0.9385876674412772,0.9978868491777385
32,124,126,0.9841269841269841,0.9438377886655228,0.9980718902320175
34,128,131,0.9770992366412213,0.9345334122372114,0.9952521819713963
36,113,114,0.9912280701754386,0.9520947421476375,0.9997779386243281
38,142,144,0.9861111111111112,0.9507305380047384,0.9983135430593824
40,133,137,0.9708029197080292,0.9269321676032877,0.9919886429524754
42,125,128,0.9765625,0.9330336979545444,0.995140296464276
44,172,182,0.945054945054945,0.9012772643608327,0.9733404552827122
46,223,230,0.9695652173913043,0.9383007502568652,0.9876778218306008
48,242,261,0.9272030651340997,0.8886512092677585,0.9556049523540717
50,257,273,0.9413919413919414,0.9065672945383785,0.9661329028431616
52,323,350,0.9228571428571428,0.8897444493389818,0.9485490221860411
54,321,350,0.9171428571428571,0.883170902977777,0.9438081235622273
56,392,423,0.9267139479905437,0.8975870486905105,0.9496653914814641
58,363,405,0.8962962962962963,0.8624135161259284,0.924232023346514
60,407,463,0.8790496760259179,0.845823851176621,0.9073285345915172
62,480,559,0.8586762075134168,0.8270086348644459,0.8864898010648566
64,405,489,0.8282208588957055,0.7918083169580454,0.8606052211455765
66,418,513,0.8148148148148148,0.7784447905297864,0.8475086111984222
68,383,477,0.8029350104821803,0.7643556795516138,0.8377089416525181
70,429,563,0.7619893428063943,0.7246006821679277,0.7966025390595989
72,463,604,0.7665562913907285,0.7307345349367738,0.799747747152686
74,429,575,0.7460869565217392,0.7084331416665823,0.7811905939470399
76,410,568,0.721830985915493,0.6830098633306206,0.7583266438849859
78,418,602,0.6943521594684385,0.6558324976084402,0.730952376449371
80,447,639,0.6995305164319249,0.6623374390891431,0.7348681480061696
82,385,633,0.608214849921011,0.5689645786260391,0.6464508900894137
84,417,646,0.6455108359133127,0.6072495415897369,0.6824353759984041
86,374,613,0.6101141924959217,0.5702340667011742,0.6489282182157194
88,341,582,0.5859106529209622,0.5446819558347618,0.6262630120790469
90,285,544,0.5238970588235294,0.4809771371007724,0.5665560929158197
92,248,449,0.5523385300668151,0.505014053394776,0.5989691105681043
94,153,284,0.5387323943661971,0.47885053667972066,0.5977977325213197
96,64,130,0.49230769230769234,0.40358057036868844,0.5813930674182219
98,43,84,0.5119047619047619,0.4003528379488728,0.6225930515542561
100,26,56,0.4642857142857143,0.32991469026354375,0.6025639949700673
